day,x,y,z
35,-2.49686663267927E12,-1.9816990812622653E11,1.028052146480513E7
36,-2.5650329081426377E12,-2.0301274806678647E11,1.0337688210576026E7
37,-2.6331990300476743E12,-2.0785557581102914E11,1.0394854687733306E7
38,-2.701365006340403E12,-2.1269839202260568E11,1.0452020912339553E7
39,-2.7695308443655747E12,-2.175411973125271E11,1.0509186899090998E7
40,-2.837696550925848E12,-2.2238399224457922E11,1.0566352661466135E7
41,-2.9058621323338604E12,-2.272267773400601E11,1.062351821185484E7
42,-2.974027594458189E12,-2.320695530819383E11,1.0680683561671015E7
43,-3.0421929427640527E12,-2.369123199185158E11,1.073784872145114E7
44,-3.1103581823494517E12,-2.4175507826666388E11,1.0795013700940825E7
45,-3.178523317977346E12,-2.4659782851469022E11,1.085217850917105E7
46,-3.24668835410439E12,-2.514405710248872E11,1.090934315452549E7
47,-3.314853294906645E12,-2.5628330613580234E11,1.09665076448002E7
48,-3.383018144302653E12,-2.6112603416426642E11,1.1023671987256613E7
49,-3.451182905974185E12,-2.6596875540721024E11,1.1080836188668758E7
50,-3.5193475833849404E12,-2.7081147014329514E11,1.1138000255365415E7
51,-3.587512179797436E12,-2.7565417863438007E11,1.1195164193267854E7
52,-3.655676698288293E12,-2.804968811268446E11,1.1252328007923683E7
53,-3.723841141762096E12,-2.8533957785278436E11,1.1309491704537299E7
54,-3.792005512963987E12,-2.9018226903109296E11,1.13666552879973E7
55,-3.8601698144911235E12,-2.950249548684441E11,1.1423818762901256E7
56,-3.9283340488031313E12,-2.998676355601835E11,1.1480982133578101E7
57,-3.9964982182316445E12,-3.0471031129114124E11,1.1538145404108448E7
58,-4.0646623249890366E12,-3.095529822363728E11,1.159530857834301E7
59,-4.132826371176416E12,-3.1439564856183575E11,1.1652471659919374E7
60,-4.2009903587909663E12,-3.192383104250088E11,1.170963465227728E7
61,-4.2691542897326895E12,-3.2408096797545966E11,1.1766797558672557E7
62,-4.337318165810608E12,-3.289236213553654E11,1.1823960382189877E7
63,-4.405481988748484E12,-3.337662706999916E11,1.1881123125754409E7
64,-4.473645760190097E12,-3.386089161381324E11,1.1938285792142522E7
65,-4.541809481704109E12,-3.4345155779251697E11,1.199544838399161E7
66,-4.609973154788585E12,-3.4829419578018396E11,1.205261090380911E7
67,-4.678136780875155E12,-3.5313683021282806E11,1.2109773353980826E7
68,-4.746300361332893E12,-3.579794611971196E11,1.2166935736778578E7
69,-4.814463897471904E12,-3.62822088835002E11,1.2224098054367289E7
70,-4.882627390546669E12,-3.6766471322396655E11,1.2281260308811504E7
71,-4.950790841759146E12,-3.7250733445730743E11,1.2338422502081456E7
72,-5.01895425226166E12,-3.7734995262435986E11,1.2395584636058645E7
73,-5.087117623159603E12,-3.821925678107202E11,1.2452746712541047E7
74,-5.155280955513943E12,-3.8703518009845184E11,1.2509908733247936E7
75,-5.223444250343584E12,-3.91877789566277E11,1.2567070699824354E7
76,-5.291607508627547E12,-3.9672039628975543E11,1.2624232613845289E7
77,-5.359770731307032E12,-4.015630003414516E11,1.268139447681955E7
78,-5.427933919287343E12,-4.064056017910908E11,1.2738556290193392E7
79,-5.496097073439686E12,-4.112482007057053E11,1.2795718055353884E7
80,-5.564260194602862E12,-4.160907971497713E11,1.285287977363206E7
81,-5.632423283584857E12,-4.209333911853371E11,1.2910041446305882E7
82,-5.700586341164331E12,-4.257759828721434E11,1.296720307460297E7
83,-5.768749368092017E12,-4.306185722677363E11,1.3024364659703206E7
84,-5.836912365092043E12,-4.354611594275737E11,1.3081526202741135E7
85,-5.905075332863181E12,-4.4030374440512463E11,1.3138687704808244E7
86,-5.973238272080008E12,-4.451463272519636E11,1.3195849166955091E7
87,-6.041401183394014E12,-4.499889080178588E11,1.3253010590193294E7
88,-6.109564067434642E12,-4.548314867508556E11,1.3310171975497423E7
89,-6.177726924810276E12,-4.5967406349735486E11,1.3367333323806753E7
90,-6.245889756109167E12,-4.6451663830218744E11,1.3424494636026954E7
91,-6.314052561900309E12,-4.693592112086841E11,1.348165591303163E7
92,-6.382215342734275E12,-4.742017822587415E11,1.353881715566382E7
93,-6.450378099144006E12,-4.7904435149288495E11,1.3595978364737373E7
94,-6.518540831645546E12,-4.8388691895032764E11,1.3653139541038282E7
95,-6.586703540738757E12,-4.8872948466902655E11,1.3710300685325917E7
96,-6.654866226907989E12,-4.935720486857355E11,1.3767461798334204E7
97,-6.723028890622709E12,-4.984146110360554E11,1.3824622880772734E7
98,-6.791191532338111E12,-5.032571717544823E11,1.3881783933327818E7
99,-6.859354152495686E12,-5.080997308744522E11,1.3938944956663482E7
100,-6.927516751523763E12,-5.129422884283842E11,1.3996105951422404E7
101,-6.995679329838036E12,-5.1778484444772156E11,1.405326691822682E7
102,-7.063841887842049E12,-5.2262739896297E11,1.4110427857679363E7
103,-7.132004425927666E12,-5.2746995200373486E11,1.4167588770363875E7
104,-7.200166944475517E12,-5.3231250359875616E11,1.4224749656846166E7
105,-7.268329443855427E12,-5.37155053775942E11,1.4281910517674737E7
106,-7.336491924426819E12,-5.419976025624004E11,1.4339071353381481E7
107,-7.404654386539098E12,-5.4684014998446924E11,1.4396232164482333E7
108,-7.472816830532023E12,-5.516826960677457E11,1.4453392951477887E7
109,-7.540979256736061E12,-5.565252408371135E11,1.451055371485401E7
110,-7.609141665472714E12,-5.613677843167689E11,1.4567714455082389E7
111,-7.677304057054851E12,-5.662103265302463E11,1.4624875172621079E7
112,-7.745466431787005E12,-5.71052867500442E11,1.4682035867915018E7
113,-7.813628789965677E12,-5.758954072496366E11,1.4739196541396506E7
114,-7.881791131879604E12,-5.807379457995173E11,1.479635719348569E7
115,-7.949953457810037E12,-5.85580483171199E11,1.4853517824591E7
116,-8.018115768030994E12,-5.904230193852437E11,1.4910678435109574E7
117,-8.086278062809504E12,-5.952655544616798E11,1.4967839025427671E7
118,-8.154440342405848E12,-6.001080884200211E11,1.5024999595921053E7
119,-8.222602607073779E12,-6.049506212792828E11,1.5082160146955365E7
120,-8.290764857060742E12,-6.097931530579999E11,1.5139320678886482E7
121,-8.35892709260808E12,-6.146356837742423E11,1.5196481192060856E7
122,-8.427089313951232E12,-6.194782134456305E11,1.5253641686815845E7
123,-8.495251521319928E12,-6.243207420893502E11,1.531080216348001E7
124,-8.563413714938366E12,-6.29163269722167E11,1.5367962622373428E7
125,-8.631575895025394E12,-6.340057963604395E11,1.5425123063807976E7
126,-8.699738061794674E12,-6.388483220201322E11,1.5482283488087596E7
127,-8.767900215454851E12,-6.436908467168286E11,1.553944389550857E7
128,-8.8360623562097E12,-6.485333704657429E11,1.5596604286359763E7
129,-8.904224484258287E12,-6.533758932817316E11,1.5653764660922872E7
130,-8.972386599795102E12,-6.582184151793046E11,1.5710925019472651E7
131,-9.040548703010205E12,-6.630609361726361E11,1.5768085362277146E7
132,-9.108710794089354E12,-6.679034562755748E11,1.5825245689597894E7
133,-9.176872873214146E12,-6.727459755016537E11,1.5882406001690142E7
134,-9.245034940562129E12,-6.775884938640995E11,1.5939566298803035E7
135,-9.31319699630692E12,-6.82431011375842E11,1.5996726581179814E7
136,-9.38135904061833E12,-6.87273528049523E11,1.6053886849057993E7
137,-9.44952107366247E12,-6.921160438975044E11,1.6111047102669537E7
138,-9.517683095601855E12,-6.969585589318766E11,1.616820734224103E7
139,-9.585845106595506E12,-7.018010731644666E11,1.6225367567993842E7
140,-9.654007106799053E12,-7.066435866068453E11,1.6282527780144284E7
141,-9.72216909636484E12,-7.114860992703352E11,1.6339687978903754E7
142,-9.790331075441994E12,-7.163286111660166E11,1.639684816447889E7
